date,count
2011-01-01,0
2011-01-02,0
2011-01-03,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-07,1
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,1
2011-01-14,0
2011-01-15,0
2011-01-16,0
2011-01-17,0
2011-01-18,0
2011-01-19,0
2011-01-20,0
2011-01-21,0
2011-01-22,0
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,1
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,0
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,7
2011-03-07,182
2011-03-08,200
2011-03-09,241
2011-03-10,212
2011-03-11,112
2011-03-12,141
2011-03-13,154
2011-03-14,223
2011-03-15,236
2011-03-16,140
2011-03-17,118
2011-03-18,68
2011-03-19,136
2011-03-20,194
2011-03-21,251
2011-03-22,213
2011-03-23,235
2011-03-24,264
2011-03-25,202
2011-03-26,285
2011-03-27,246
2011-03-28,374
2011-03-29,283
2011-03-30,181
2011-03-31,203
2011-04-01,179
2011-04-02,121
2011-04-03,101
2011-04-04,124
2011-04-05,159
2011-04-06,148
2011-04-07,154
2011-04-08,153
2011-04-09,115
2011-04-10,125
2011-04-11,74
2011-04-12,90
2011-04-13,230
2011-04-14,68
2011-04-15,99
2011-04-16,243
2011-04-17,85
2011-04-18,110
2011-04-19,122
2011-04-20,130
2011-04-21,109
2011-04-22,199
2011-04-23,147
2011-04-24,41
2011-04-25,39
2011-04-26,36
2011-04-27,35
2011-04-28,35
2011-04-29,25
2011-04-30,43
2011-05-01,65
2011-05-02,73
2011-05-03,50
2011-05-04,86
2011-05-05,82
2011-05-06,50
2011-05-07,48
2011-05-08,34
2011-05-09,42
2011-05-10,35
2011-05-11,61
2011-05-12,26
2011-05-13,31
2011-05-14,21
2011-05-15,22
2011-05-16,53
2011-05-17,75
