date,diff_1
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,0.0
2011-01-07,1.0
2011-01-08,-1.0
2011-01-09,0.0
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,1.0
2011-01-14,-1.0
2011-01-15,0.0
2011-01-16,0.0
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-22,0.0
2011-01-23,0.0
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,0.0
2011-01-27,1.0
2011-01-28,-1.0
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,0.0
2011-02-01,0.0
2011-02-02,0.0
2011-02-03,0.0
2011-02-04,0.0
2011-02-05,0.0
2011-02-06,0.0
2011-02-07,0.0
2011-02-08,0.0
2011-02-09,0.0
2011-02-10,0.0
2011-02-11,0.0
2011-02-12,0.0
2011-02-13,0.0
2011-02-14,0.0
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-19,0.0
2011-02-20,0.0
2011-02-21,0.0
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,0.0
2011-02-26,0.0
2011-02-27,0.0
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,0.0
2011-03-05,0.0
2011-03-06,7.0
2011-03-07,175.0
2011-03-08,18.0
2011-03-09,41.0
2011-03-10,-29.0
2011-03-11,-100.0
2011-03-12,29.0
2011-03-13,13.0
2011-03-14,69.0
2011-03-15,13.0
2011-03-16,-96.0
2011-03-17,-22.0
2011-03-18,-50.0
2011-03-19,68.0
2011-03-20,58.0
2011-03-21,57.0
2011-03-22,-38.0
2011-03-23,22.0
2011-03-24,29.0
2011-03-25,-62.0
2011-03-26,83.0
2011-03-27,-39.0
2011-03-28,128.0
2011-03-29,-91.0
2011-03-30,-102.0
2011-03-31,22.0
