bldgarea,bldgdepth,builtfar,facilfar,lotarea,lotdepth,numbldgs,numfloors,resarea,residfar,age,count
3478.0,60.0,1.87,2.0,1862.0,100.0,2,3,3478.0,2.0,2,1979
4124.0,55.0,1.65,4.8,2500.0,100.0,1,3,2750.0,2.43,89,17
7416.0,100.0,2.97,3.0,2500.0,100.0,1,5,7036.0,3.0,62,44
2112.0,48.0,0.6,2.0,3500.0,100.0,1,2,2112.0,1.25,89,1101
1540.0,30.0,0.96,4.8,1600.0,80.0,1,2,1540.0,2.43,119,58
2108.0,50.2,1.0,2.0,2100.0,100.06,1,2,2108.0,1.25,27,47
3890.0,58.0,1.56,2.0,2500.0,100.0,2,3,3890.0,1.25,91,3
3930.0,58.0,1.57,2.0,2500.0,100.0,2,3,3930.0,1.25,92,75
1536.0,38.0,0.18,1.0,8744.0,145.0,2,2,1536.0,0.5,100,203
3300.0,55.0,2.06,4.0,1600.0,80.0,1,3,3300.0,4.0,119,99
3300.0,55.0,1.74,4.8,1900.0,95.0,1,2,2200.0,2.43,115,171
3496.0,56.0,1.59,3.0,2200.0,100.0,1,3,3496.0,3.0,55,20
3664.0,56.0,1.75,3.0,2092.0,91.0,1,3,3664.0,3.0,55,242
6800.0,100.0,1.05,3.0,6490.0,114.0,2,2,800.0,3.0,110,62
2860.0,80.0,1.24,3.0,2300.0,112.0,2,2,1260.0,3.0,110,2
6770.0,65.0,3.98,15.0,1701.0,64.8,1,4,5070.0,10.0,120,12
8510.0,68.0,4.85,15.0,1757.0,68.44,1,4,1736.0,10.0,120,246
1494.0,38.0,0.6,2.0,2500.0,100.0,2,2,1494.0,0.75,80,76
1947.0,22.0,1.02,2.0,1900.0,51.34,1,3,1947.0,0.75,31,195
2700.0,45.0,1.5,3.0,1800.0,90.0,1,3,2700.0,3.0,100,99
1535.0,28.0,0.26,1.0,6000.0,100.0,2,2,1535.0,0.5,100,41
28320.0,111.0,6.04,6.5,4690.0,125.0,1,7,28320.0,6.02,120,83
11064.0,60.66,1.84,2.0,6000.0,100.0,2,3,11064.0,0.75,14,29
1092.0,34.0,0.61,1.0,1800.0,100.0,1,2,1092.0,0.5,85,69
12350.0,82.0,4.89,4.8,2524.0,101.0,1,7,12350.0,2.43,87,135
1995.0,100.0,1.07,4.8,1862.0,100.0,1,2,1995.0,2.43,70,7
3148.0,55.0,1.79,2.0,1762.0,91.44,1,3,3148.0,2.0,18,92
47420.0,133.0,4.69,6.5,10110.0,131.1,1,7,47420.0,3.44,105,31
1080.0,36.34,0.42,1.0,2600.0,100.0,1,2,1080.0,0.5,65,6
5000.0,70.0,2.49,4.8,2004.0,100.2,1,3,5000.0,2.43,13,546
1995.0,100.0,1.2,4.8,1662.0,100.0,1,2,1995.0,2.43,70,222
5340.0,50.0,2.16,2.0,2468.0,100.0,1,4,5340.0,2.0,11,21
1392.0,36.0,0.58,1.0,2396.0,102.3,2,2,1392.0,0.5,95,18
1392.0,36.0,0.57,1.0,2422.0,103.44,2,2,1392.0,0.5,95,96
1712.0,33.0,0.53,1.0,3224.0,129.0,1,2,1712.0,0.5,110,83
1496.0,45.0,0.59,1.0,2524.0,107.75,1,2,1496.0,0.5,95,53
1496.0,45.0,0.73,1.0,2047.0,107.75,2,2,1496.0,0.5,95,33
2812.0,46.0,1.61,4.8,1752.0,66.0,1,2,1912.0,2.43,70,204
2092.0,35.0,1.31,2.0,1600.0,80.0,1,2,1496.0,1.25,70,220
2460.0,45.0,1.23,4.8,2000.0,100.0,2,2,1702.0,2.43,70,75
2460.0,45.0,1.23,4.8,2000.0,100.0,1,2,1702.0,2.43,70,101
2940.0,51.0,1.47,4.8,2000.0,100.0,1,2,2040.0,2.43,70,41
2600.0,52.0,1.56,2.0,1667.0,100.0,1,3,2600.0,1.25,13,14
10270.0,95.0,4.32,4.8,2380.0,90.3,3,3,10270.0,2.43,110,169
3648.0,48.0,1.92,3.0,1900.0,100.0,1,3,2736.0,3.0,135,31
3648.0,48.0,1.92,3.0,1900.0,100.0,1,3,2736.0,3.0,135,9
10380.0,55.0,1.34,2.0,7736.0,97.0,3,3,9810.0,0.75,7,10
9420.0,73.0,3.82,10.0,2468.0,98.75,1,5,8620.0,10.0,110,135
3438.0,86.0,1.72,4.8,2004.0,100.2,1,3,3438.0,2.43,13,17
1748.0,87.0,0.37,2.0,4670.0,17.42,1,1,1748.0,0.75,60,9
1116.0,31.42,0.62,4.8,1800.0,100.0,1,2,1116.0,2.43,34,8
2600.0,52.0,1.56,2.0,1667.0,100.0,1,3,2600.0,1.25,13,28
2584.0,65.0,1.29,2.0,2000.0,100.0,1,2,2584.0,0.75,95,185
2156.0,49.5,0.53,1.0,4092.0,209.1,1,2,2156.0,0.5,60,62
2124.0,55.0,0.78,4.8,2720.0,100.0,1,2,2124.0,2.43,110,21
1116.0,31.42,0.62,4.8,1800.0,100.0,1,2,1116.0,2.43,34,105
4660.0,40.0,2.62,10.0,1778.0,70.75,1,4,2000.0,10.0,100,13
4804.0,28.92,0.09,1.0,52960.0,247.4,2,2,4804.0,0.5,110,24
3024.0,42.0,1.61,2.0,1875.0,100.0,1,3,2268.0,2.0,146,162
1232.0,46.0,0.74,2.0,1674.0,100.0,2,2,1232.0,0.75,95,11
2200.0,55.0,1.13,4.8,1940.0,80.0,1,2,2200.0,2.43,119,87
2200.0,55.0,1.38,4.8,1600.0,80.0,1,2,2200.0,2.43,110,27
3102.0,48.0,1.94,2.0,1597.0,90.06,1,3,3102.0,2.0,7,9
2700.0,45.0,1.38,6.5,1960.0,98.0,1,3,2700.0,3.44,24,912
6720.0,56.0,1.68,4.8,4000.0,110.0,1,2,5600.0,2.43,21,59
6364.0,40.0,2.83,4.0,2250.0,90.0,1,4,6364.0,4.0,130,2
2148.0,56.0,0.98,4.8,2200.0,100.0,2,2,2148.0,2.43,100,16
2440.0,56.0,0.81,4.8,3000.0,100.0,2,2,2440.0,2.43,100,3
1092.0,34.0,0.61,1.0,1800.0,100.0,1,2,1092.0,0.5,85,111
4984.0,50.0,2.53,4.8,1973.0,80.0,1,4,3702.0,2.43,121,4
5150.0,45.0,2.34,2.0,2200.0,88.0,1,3,3436.0,2.0,100,170
5400.0,72.0,2.4,4.8,2250.0,90.0,1,3,3600.0,2.43,90,49
1792.0,50.0,0.9,4.8,2000.0,100.0,1,2,1792.0,2.43,95,11
6780.0,60.0,2.88,3.0,2354.0,83.3,1,4,5940.0,3.0,100,191
6190.0,83.0,2.71,4.8,2280.0,90.0,1,4,6190.0,2.43,141,7
2274.0,30.0,1.07,3.0,2128.0,84.25,1,3,1516.0,3.0,121,78
2096.0,50.0,1.05,2.0,2000.0,100.0,1,2,2096.0,1.25,110,16
2100.0,55.0,1.4,2.0,1500.0,75.0,2,4,2100.0,2.0,121,65
3520.0,32.0,1.41,2.0,2500.0,100.0,2,3,2560.0,2.0,121,5
1008.0,45.0,0.42,2.0,2400.0,100.0,1,1,1008.0,1.25,121,96
4124.0,55.0,1.65,2.0,2500.0,100.0,1,3,2750.0,2.0,110,5
24270.0,80.0,4.84,10.0,5016.0,100.0,1,6,20080.0,10.0,59,100
6256.0,50.0,2.78,4.8,2250.0,92.5,1,4,6256.0,2.43,171,19
2320.0,57.66,0.78,2.0,2968.0,106.0,1,2,2320.0,0.75,10,140
2000.0,50.0,1.0,4.8,2000.0,100.0,1,2,2000.0,2.43,121,14
2748.0,50.0,1.37,2.0,2000.0,100.0,1,3,2748.0,1.25,110,147
1300.0,46.0,0.65,2.0,2000.0,100.0,2,2,1300.0,0.75,95,9
1300.0,46.0,0.47,2.0,2750.0,100.0,2,2,1300.0,0.75,95,58
1620.0,30.0,0.98,1.0,1658.0,90.0,1,3,1620.0,0.5,55,11
5200.0,78.0,3.25,4.8,1600.0,80.0,1,4,3900.0,2.43,134,46
23360.0,100.0,1.28,4.8,18240.0,100.0,5,3,23360.0,2.43,110,19
928.0,29.0,0.37,2.0,2500.0,100.0,2,2,928.0,0.75,70,69
2052.0,52.0,1.03,4.8,2000.0,100.0,1,2,2052.0,2.43,121,337
2052.0,52.0,1.03,4.8,2000.0,100.0,1,2,2052.0,2.43,121,42
4876.0,65.0,1.95,2.0,2500.0,100.0,1,3,3250.0,2.0,92,66
50800.0,26.0,4.11,6.5,12360.0,100.94,1,7,43520.0,3.44,11,13
13680.0,64.0,4.55,4.8,3008.0,64.0,1,5,2400.0,2.43,89,82
12936.0,71.0,2.59,6.5,5000.0,100.0,1,7,12936.0,3.44,17,30
1376.0,37.0,0.55,2.0,2500.0,100.0,2,2,1376.0,0.75,95,84
3042.0,52.0,2.29,4.8,1326.0,68.0,1,3,2038.0,2.43,85,19
1672.0,38.5,1.05,2.0,1600.0,100.0,1,2,1216.0,0.75,80,6
1672.0,38.6,1.05,2.0,1600.0,100.0,1,2,1216.0,0.75,80,102
3840.0,48.0,2.49,2.0,1540.0,77.0,1,3,1920.0,2.0,121,58
1520.0,38.5,0.95,2.0,1600.0,100.0,1,2,1216.0,0.75,80,3
2632.0,45.0,3.0,4.8,878.0,45.0,1,3,1764.0,2.43,85,6
1824.0,38.5,1.14,2.0,1600.0,100.0,1,2,1216.0,0.75,80,99
1672.0,38.6,1.05,2.0,1600.0,100.0,1,2,1216.0,0.75,80,22
6160.0,58.0,2.82,2.0,2184.0,78.0,1,4,6160.0,2.0,120,100
10700.0,104.0,2.49,2.0,4304.0,104.0,1,4,9210.0,2.0,89,50
4464.0,40.0,0.98,4.2,4576.0,173.4,1,2,2882.0,4.2,105,17
1520.0,43.66,0.76,2.0,2000.0,100.0,1,2,1520.0,0.75,60,2
3750.0,50.0,1.61,3.0,2324.0,93.0,1,3,3750.0,3.0,100,152
2080.0,50.0,1.04,2.0,1992.0,100.0,1,2,2080.0,1.25,110,25
5700.0,65.0,3.17,3.0,1800.0,90.0,1,4,3900.0,3.0,89,16
1680.0,36.0,0.67,2.0,2500.0,100.0,2,2,1680.0,0.75,95,14
8664.0,82.06,3.21,3.0,2700.0,90.0,1,4,8664.0,3.0,100,41
5388.0,85.0,1.38,4.8,3900.0,167.2,2,4,5388.0,2.43,14,10
2080.0,50.0,1.04,2.0,2000.0,100.0,1,2,2080.0,1.25,110,53
7732.0,68.0,4.12,6.5,1877.0,75.3,1,5,6230.0,6.02,120,25
1536.0,36.0,0.61,2.0,2500.0,100.0,2,2,1536.0,0.75,95,16
5570.0,40.0,2.2,3.0,2532.0,100.0,1,4,5570.0,3.0,120,14
2240.0,53.0,0.75,2.0,3000.0,100.0,2,2,2240.0,0.75,95,75
1284.0,42.0,0.69,2.0,1863.0,116.44,2,2,1284.0,0.9,95,14
1827.0,29.0,1.0,1.0,1829.0,87.06,1,2,1827.0,0.5,100,36
2226.0,53.0,0.88,2.0,2540.0,121.0,1,2,2226.0,1.35,18,221
10344.0,72.0,3.86,6.5,2682.0,89.5,1,5,10344.0,3.44,99,7
5016.0,76.0,2.23,4.8,2250.0,100.0,1,3,5016.0,2.43,90,58
2000.0,50.0,1.0,4.8,2008.0,100.44,1,2,1000.0,2.43,121,158
1392.0,47.0,0.59,2.0,2350.0,100.0,2,2,1392.0,0.75,90,112
1116.0,31.0,0.62,4.8,1800.0,100.0,1,2,1116.0,2.43,34,55
1200.0,30.0,0.64,4.8,1887.0,54.4,1,2,1200.0,2.43,110,93
1392.0,47.0,0.68,2.0,2050.0,100.0,2,2,1392.0,0.75,90,7
1534.0,30.0,0.4,2.0,3800.0,95.0,2,2,1534.0,0.75,90,49
1918.0,30.0,0.5,2.0,3800.0,95.0,2,2,1918.0,0.75,90,5
2208.0,52.0,1.1,4.8,2000.0,100.0,1,2,2208.0,2.43,110,16
3230.0,50.0,1.61,4.8,2003.0,100.56,1,2,1615.0,2.43,100,7
1571.0,30.0,0.39,2.0,4000.0,100.0,2,2,1571.0,0.75,90,47
4100.0,80.0,1.64,4.8,2500.0,100.0,1,2,4100.0,2.43,90,43
3460.0,50.0,1.71,4.8,2020.0,101.0,1,2,1060.0,2.43,100,36
1890.0,45.5,0.89,2.0,2116.0,100.0,1,2,1890.0,0.75,60,62
3938.0,65.0,1.97,4.8,2000.0,100.0,1,3,3938.0,2.43,27,66
1056.0,33.5,0.66,2.0,1600.0,100.0,1,2,1056.0,0.75,80,18
5970.0,86.0,1.72,2.0,3478.0,125.9,1,3,5970.0,1.25,13,4
896.0,28.0,0.36,1.0,2500.0,100.0,1,2,896.0,0.5,70,13
1728.0,54.0,1.04,2.0,1669.0,100.2,1,2,1728.0,2.0,121,76
1440.0,36.0,1.0,2.0,1440.0,80.0,1,2,1440.0,1.25,100,1
3280.0,80.0,1.29,4.8,2550.0,100.0,1,2,3280.0,2.43,90,50
2302.0,48.0,0.49,1.0,4724.0,135.0,2,2,2302.0,0.5,95,22
3000.0,52.0,1.25,2.0,2400.0,120.0,1,2,2000.0,1.35,110,31
1904.0,30.0,0.51,2.0,3750.0,100.0,2,2,1904.0,0.75,95,44
4890.0,58.0,2.44,2.0,2000.0,100.2,1,4,4890.0,2.0,9,27
1960.0,47.0,0.98,2.0,2003.0,100.2,1,2,1960.0,2.0,100,10
952.0,34.0,1.43,2.0,665.0,47.5,1,2,952.0,1.25,95,3
3048.0,48.0,1.52,2.0,2003.0,100.2,1,2,2024.0,2.0,105,7
3048.0,48.0,1.52,2.0,2003.0,100.2,1,2,2024.0,2.0,105,65
9064.0,52.5,1.51,2.0,6000.0,100.0,2,4,9064.0,1.25,16,5
4220.0,65.0,2.11,4.8,2000.0,100.0,1,4,4220.0,2.43,24,83
2068.0,50.0,1.31,2.0,1583.0,95.0,1,2,2068.0,1.35,119,22
2068.0,50.0,1.31,2.0,1583.0,95.0,1,2,2068.0,1.35,119,4
2640.0,30.0,1.11,2.0,2376.0,95.0,1,2,2640.0,1.35,119,7
